№	Тема	Домашнее задание	Материалы	Связи	Количество часов	Контроль				
1	Непозиционные и позиционные системы счисления				1.00					
2	Развернутая форма записи числа				1.00					
3	Двоичная система счисления. Арифметические операции в двоичной системе счисления				1.00					
4	Восьмеричная система счисления				1.00					
5	Шестнадцатеричная система счисления				1.00					
6	Проверочная работа по теме «Системы счисления»				1.00					
7	Логические высказывания				1.00					
8	Логические операции «и», «или», «не»				1.00					
9	Определение истинности составного высказывания				1.00					
10	Таблицы истинности				1.00					
11	Логические элементы				1.00					
12	Контрольная работа по теме «Элементы математической логики»				1.00					
13	Понятие алгоритма. Исполнители алгоритмов				1.00					
14	Свойства алгоритма. Способы записи алгоритма				1.00					
15	Алгоритмическая конструкция «следование». Линейный алгоритм				1.00					
16	Алгоритмическая конструкция «ветвление»: полная и неполная формы				1.00					
17	Алгоритмическая конструкция «повторение»				1.00					
18	Формальное исполнение алгоритма				1.00					
19	Разработка несложных алгоритмов с использованием циклов для управления формальными исполнителями				1.00					
20	Разработка несложных алгоритмов с использованием циклов и ветвлений для управления формальными исполнителями				1.00					
21	Выполнение алгоритмов				1.00					
22	Обобщение и систематизация знаний. Контрольная работа по теме «Исполнители и алгоритмы. Алгоритмические конструкции»				1.00					
23	Язык программирования. Система программирования				1.00					
24	Переменные. Оператор присваивания				1.00					
25	Программирование линейных алгоритмов				1.00					
26	Разработка программ, содержащих оператор ветвления				1.00					
27	Диалоговая отладка программ				1.00					
28	Цикл с условием				1.00					
29	Цикл с переменной				1.00					
30	Обработка символьных данных				1.00					
31	Обобщение и систематизация знаний по теме «Язык программирования»				1.00					
32	Повторение				1.00					
33	Повторение				1.00					
34	Повторение				1.00					
